concept_id,concept_name_ko,concept_name_en,domain_id,vocabulary_id,concept_class_id,concept_code,standard_concept,standard_hint,valid_start_date,valid_end_date,invalid_reason,key
10000000001,등록 서식 입력,Registry (CRF entry),Type Concept,KAI,Type,KAI-TYPE-REG,S,,2026-09-12,2099-12-31,,TYPE_REGISTRY
10000000002,전자의무기록,EHR,Type Concept,KAI,Type,KAI-TYPE-EHR,S,,2026-09-12,2099-12-31,,TYPE_EHR
10000000003,파생,Derived,Type Concept,KAI,Type,KAI-TYPE-DRV,S,,2026-09-12,2099-12-31,,TYPE_DERIVED
10000000004,질환 에피소드,Disease Episode,Episode,KAI,Episode,KAI-EP-DIS,S,,2026-09-12,2099-12-31,,EP_DISEASE
10000000005,질환 최초 발생,Disease First Occurrence,Episode,KAI,Episode,KAI-EP-FIRST,S,,2026-09-12,2099-12-31,,EP_FIRST
10000000006,질환 재발·진행,Disease Recurrence/Progression,Episode,KAI,Episode,KAI-EP-REC,S,,2026-09-12,2099-12-31,,EP_RECURRENCE
10000000007,관해,Disease Remission,Episode,KAI,Episode,KAI-EP-REM,S,,2026-09-12,2099-12-31,,EP_REMISSION
10000000008,치료 레지멘,Treatment Regimen,Episode,KAI,Episode,KAI-EP-REG,S,,2026-09-12,2099-12-31,,EP_REGIMEN
10000000009,치료 사이클,Treatment Cycle,Episode,KAI,Episode,KAI-EP-CYC,S,,2026-09-12,2099-12-31,,EP_CYCLE
10000000010,CONDITION_OCCURRENCE.condition_occurrence_id,condition_occurrence.condition_occurrence_id,Metadata,KAI,Field,KAI-F-COND,S,,2026-09-12,2099-12-31,,F_CONDITION
10000000011,PROCEDURE_OCCURRENCE.procedure_occurrence_id,procedure_occurrence.procedure_occurrence_id,Metadata,KAI,Field,KAI-F-PROC,S,,2026-09-12,2099-12-31,,F_PROCEDURE
10000000012,DRUG_EXPOSURE.drug_exposure_id,drug_exposure.drug_exposure_id,Metadata,KAI,Field,KAI-F-DRUG,S,,2026-09-12,2099-12-31,,F_DRUG
10000000013,MEASUREMENT.measurement_id,measurement.measurement_id,Metadata,KAI,Field,KAI-F-MEAS,S,,2026-09-12,2099-12-31,,F_MEASUREMENT
10000000014,EPISODE.episode_id,episode.episode_id,Metadata,KAI,Field,KAI-F-EPI,S,,2026-09-12,2099-12-31,,F_EPISODE
10000000015,SPECIMEN.specimen_id,specimen.specimen_id,Metadata,KAI,Field,KAI-F-SPEC,S,,2026-09-12,2099-12-31,,F_SPECIMEN
10000000016,OBSERVATION.observation_id,observation.observation_id,Metadata,KAI,Field,KAI-F-OBS,S,,2026-09-12,2099-12-31,,F_OBSERVATION
10000000017,남성,Male,Gender,SNOMED,Gender,248153007,S,,2026-09-12,2099-12-31,,GENDER_M
10000000018,여성,Female,Gender,SNOMED,Gender,248152002,S,,2026-09-12,2099-12-31,,GENDER_F
10000000019,입원,Inpatient visit,Visit,KAI,Visit,KAI-VISIT-IP,S,,2026-09-12,2099-12-31,,VISIT_INPATIENT
10000000020,외래,Outpatient visit,Visit,KAI,Visit,KAI-VISIT-OP,S,,2026-09-12,2099-12-31,,VISIT_OUTPATIENT
10000000021,응급,Emergency room visit,Visit,KAI,Visit,KAI-VISIT-ER,S,,2026-09-12,2099-12-31,,VISIT_ER
10000000022,생검 검체,Biopsy specimen,Specimen,SNOMED,Specimen,258415003,S,,2026-09-12,2099-12-31,,SPEC_BIOPSY
10000000023,절제 검체,Resection specimen,Specimen,KAI,Specimen,KAI-SPEC-RES,S,,2026-09-12,2099-12-31,,SPEC_RESECTION
10000000024,폐암 코호트,K-AI lung cancer cohort,Cohort,KAI,Cohort,KAI-COH-LC,S,,2026-09-12,2099-12-31,,COHORT_LUNG_CANCER
10000000025,유방암 코호트,K-AI breast cancer cohort,Cohort,KAI,Cohort,KAI-COH-BC,S,,2026-09-12,2099-12-31,,COHORT_BREAST_CANCER
10000000026,대장암 코호트,K-AI colorectal cancer cohort,Cohort,KAI,Cohort,KAI-COH-CRC,S,,2026-09-12,2099-12-31,,COHORT_COLORECTAL_CANCER
10000000027,대사이상지방간 코호트,K-AI MASLD cohort,Cohort,KAI,Cohort,KAI-COH-MASLD,S,,2026-09-12,2099-12-31,,COHORT_MASLD
10000000028,당뇨병 코호트,K-AI diabetes cohort,Cohort,KAI,Cohort,KAI-COH-DM,S,,2026-09-12,2099-12-31,,COHORT_DIABETES
10000000029,림프종 코호트,K-AI lymphoma cohort,Cohort,KAI,Cohort,KAI-COH-LY,S,,2026-09-12,2099-12-31,,COHORT_LYMPHOMA
10000000030,폐의 악성 신생물,Malignant neoplasm of lung,Condition,SNOMED,Disorder,363358000,S,,2026-09-12,2099-12-31,,DX_LUNG_CANCER
10000000031,유방의 악성 신생물,Malignant neoplasm of breast,Condition,SNOMED,Disorder,254837009,S,,2026-09-12,2099-12-31,,DX_BREAST_CANCER
10000000032,대장·직장의 악성 신생물,Malignant neoplasm of colorectum,Condition,SNOMED,Disorder,781382000,S,,2026-09-12,2099-12-31,,DX_COLORECTAL_CANCER
10000000033,대사이상 관련 지방간질환,Metabolic dysfunction-associated steatotic liver disease,Condition,KAI,Disorder,KAI-DX-MASLD,S,,2026-09-12,2099-12-31,,DX_MASLD
10000000034,제2형 당뇨병,Type 2 diabetes mellitus,Condition,SNOMED,Disorder,44054006,S,,2026-09-12,2099-12-31,,DX_DIABETES
