concept_id_1,concept_id_2,relationship_id,target_vocabulary,target_code
10000000057,10000000056,Is a,,
10000000058,10000000056,Is a,,
10000000059,10000000056,Is a,,
10000000060,10000000056,Is a,,
10000000061,10000000056,Is a,,
10000000063,10000000062,Is a,,
10000000064,10000000062,Is a,,
10000000065,10000000062,Is a,,
10000000067,10000000066,Is a,,
10000000068,10000000066,Is a,,
10000000069,10000000066,Is a,,
10000000070,10000000066,Is a,,
10000000071,10000000066,Is a,,
10000000073,10000000072,Is a,,
10000000074,10000000072,Is a,,
10000000075,10000000072,Is a,,
10000000076,10000000072,Is a,,
10000000077,10000000072,Is a,,
10000000078,10000000072,Is a,,
10000000079,10000000072,Is a,,
10000000080,10000000072,Is a,,
10000000081,10000000072,Is a,,
10000000082,10000000072,Is a,,
10000000083,10000000072,Is a,,
10000000084,10000000072,Is a,,
10000000085,10000000072,Is a,,
10000000086,10000000072,Is a,,
10000000087,10000000072,Is a,,
10000000089,10000000088,Is a,,
10000000090,10000000088,Is a,,
10000000091,10000000088,Is a,,
10000000092,10000000088,Is a,,
10000000091,10000000088,Is a,,
10000000093,10000000088,Is a,,
10000000094,10000000088,Is a,,
10000000096,10000000095,Is a,,
10000000097,10000000095,Is a,,
10000000098,10000000095,Is a,,
10000000099,10000000095,Is a,,
10000000100,10000000095,Is a,,
10000000102,10000000101,Is a,,
10000000103,10000000101,Is a,,
10000000104,10000000101,Is a,,
10000000105,10000000101,Is a,,
10000000106,10000000101,Is a,,
10000000107,10000000101,Is a,,
10000000108,10000000101,Is a,,
10000000109,10000000101,Is a,,
10000000110,10000000101,Is a,,
10000000111,10000000101,Is a,,
10000000112,10000000101,Is a,,
10000000113,10000000101,Is a,,
10000000114,10000000101,Is a,,
10000000115,10000000101,Is a,,
10000000117,10000000116,Is a,,
10000000118,10000000116,Is a,,
10000000119,10000000116,Is a,,
10000000120,10000000116,Is a,,
10000000121,10000000116,Is a,,
10000000122,10000000116,Is a,,
10000000123,10000000116,Is a,,
10000000124,10000000116,Is a,,
10000000125,10000000116,Is a,,
10000000126,10000000116,Is a,,
10000000128,10000000127,Is a,,
10000000129,10000000127,Is a,,
10000000130,10000000127,Is a,,
10000000131,10000000127,Is a,,
10000000132,10000000127,Is a,,
10000000133,10000000127,Is a,,
10000000135,10000000134,Is a,,
10000000136,10000000134,Is a,,
10000000137,10000000134,Is a,,
10000000138,10000000134,Is a,,
10000000139,10000000134,Is a,,
10000000140,10000000134,Is a,,
10000000142,10000000141,Is a,,
10000000143,10000000141,Is a,,
10000000144,10000000141,Is a,,
10000000145,10000000141,Is a,,
10000000146,10000000141,Is a,,
10000000147,10000000141,Is a,,
10000000148,10000000141,Is a,,
10000000149,10000000141,Is a,,
10000000150,10000000141,Is a,,
10000000152,10000000151,Is a,,
10000000153,10000000151,Is a,,
10000000154,10000000151,Is a,,
10000000155,10000000151,Is a,,
10000000156,10000000151,Is a,,
10000000158,10000000157,Is a,,
10000000159,10000000157,Is a,,
10000000160,10000000157,Is a,,
10000000161,10000000157,Is a,,
10000000162,10000000157,Is a,,
10000000163,10000000157,Is a,,
10000000165,10000000164,Is a,,
10000000166,10000000164,Is a,,
10000000167,10000000164,Is a,,
10000000168,10000000164,Is a,,
10000000170,10000000169,Is a,,
10000000171,10000000169,Is a,,
10000000172,10000000169,Is a,,
10000000173,10000000169,Is a,,
10000000174,10000000169,Is a,,
10000000176,10000000175,Is a,,
10000000177,10000000175,Is a,,
10000000178,10000000175,Is a,,
10000000179,10000000175,Is a,,
10000000180,10000000175,Is a,,
10000000181,10000000175,Is a,,
10000000183,10000000182,Is a,,
10000000184,10000000182,Is a,,
10000000185,10000000182,Is a,,
10000000186,10000000182,Is a,,
10000000187,10000000182,Is a,,
10000000188,10000000182,Is a,,
10000000190,10000000189,Is a,,
10000000191,10000000189,Is a,,
10000000192,10000000189,Is a,,
10000000194,10000000193,Is a,,
10000000195,10000000193,Is a,,
10000000196,10000000193,Is a,,
10000000197,10000000193,Is a,,
10000000198,10000000193,Is a,,
10000000199,10000000193,Is a,,
10000000200,10000000193,Is a,,
10000000201,10000000193,Is a,,
10000000203,10000000202,Is a,,
10000000204,10000000202,Is a,,
10000000205,10000000202,Is a,,
10000000206,10000000202,Is a,,
10000000207,10000000202,Is a,,
10000000208,10000000202,Is a,,
10000000210,10000000209,Is a,,
10000000211,10000000209,Is a,,
10000000212,10000000209,Is a,,
10000000214,10000000213,Is a,,
10000000215,10000000213,Is a,,
10000000216,10000000213,Is a,,
10000000217,10000000213,Is a,,
10000000218,10000000213,Is a,,
10000000219,10000000213,Is a,,
10000000221,10000000220,Is a,,
10000000222,10000000220,Is a,,
10000000223,10000000220,Is a,,
10000000224,10000000220,Is a,,
10000000225,10000000220,Is a,,
10000000226,10000000220,Is a,,
10000000228,10000000227,Is a,,
10000000229,10000000227,Is a,,
10000000230,10000000227,Is a,,
10000000231,10000000227,Is a,,
10000000232,10000000227,Is a,,
10000000234,10000000233,Is a,,
10000000235,10000000233,Is a,,
10000000236,10000000233,Is a,,
10000000237,10000000233,Is a,,
10000000238,10000000233,Is a,,
10000000240,10000000239,Is a,,
10000000241,10000000239,Is a,,
10000000242,10000000239,Is a,,
10000000243,10000000239,Is a,,
10000000245,10000000244,Is a,,
10000000246,10000000244,Is a,,
10000000247,10000000244,Is a,,
10000000248,10000000244,Is a,,
10000000249,10000000244,Is a,,
10000000250,10000000244,Is a,,
10000000251,10000000244,Is a,,
10000000252,10000000244,Is a,,
10000000254,10000000253,Is a,,
10000000255,10000000253,Is a,,
10000000256,10000000253,Is a,,
10000000257,10000000253,Is a,,
10000000259,10000000258,Is a,,
10000000260,10000000258,Is a,,
10000000261,10000000258,Is a,,
10000000263,10000000262,Is a,,
10000000264,10000000262,Is a,,
10000000265,10000000262,Is a,,
10000000266,10000000262,Is a,,
10000000267,10000000262,Is a,,
10000000268,10000000262,Is a,,
10000000270,10000000269,Is a,,
10000000271,10000000269,Is a,,
10000000272,10000000269,Is a,,
10000000273,10000000269,Is a,,
10000000274,10000000269,Is a,,
10000000276,10000000275,Is a,,
10000000277,10000000275,Is a,,
10000000278,10000000275,Is a,,
10000000279,10000000275,Is a,,
10000000280,10000000275,Is a,,
10000000281,10000000275,Is a,,
10000000283,10000000282,Is a,,
10000000284,10000000282,Is a,,
10000000285,10000000282,Is a,,
10000000286,10000000282,Is a,,
10000000287,10000000282,Is a,,
10000000289,10000000288,Is a,,
10000000290,10000000288,Is a,,
10000000291,10000000288,Is a,,
10000000292,10000000288,Is a,,
10000000294,10000000293,Is a,,
10000000295,10000000293,Is a,,
10000000296,10000000293,Is a,,
10000000297,10000000293,Is a,,
10000000298,10000000293,Is a,,
10000000300,10000000299,Is a,,
10000000301,10000000299,Is a,,
10000000302,10000000299,Is a,,
10000000303,10000000299,Is a,,
10000000304,10000000299,Is a,,
10000000305,10000000299,Is a,,
10000000307,10000000306,Is a,,
10000000308,10000000306,Is a,,
10000000309,10000000306,Is a,,
10000000310,10000000306,Is a,,
10000000311,10000000306,Is a,,
10000000312,10000000306,Is a,,
10000000017,,Maps to,SNOMED,248153007
10000000018,,Maps to,SNOMED,248152002
10000000022,,Maps to,SNOMED,258415003
10000000030,,Maps to,SNOMED,363358000
10000000031,,Maps to,SNOMED,254837009
10000000032,,Maps to,SNOMED,781382000
10000000034,,Maps to,SNOMED,44054006
10000000035,,Maps to,SNOMED,118600007
10000000041,,Maps to,SNOMED,281666001
10000000043,,Maps to,UCUM,%
10000000044,,Maps to,UCUM,1
10000000045,,Maps to,UCUM,Gy
10000000046,,Maps to,UCUM,a
10000000047,,Maps to,UCUM,cm
10000000048,,Maps to,UCUM,dB/m
10000000049,,Maps to,UCUM,kPa
10000000050,,Maps to,UCUM,mL
10000000051,,Maps to,UCUM,mm
10000000052,,Maps to,UCUM,mm2
10000000053,,Maps to,UCUM,mm[Hg]
10000000054,,Maps to,UCUM,mo
10000000055,,Maps to,UCUM,ng/mL
